species	sample_a	sample_b	snp_distance	compared_sites
Candida albicans	SRR30894138	SRR30894139	0	59
Candida albicans	SRR30894138	SRR30894141	2	59
Candida albicans	SRR30894138	SRR30894142	2	59
Candida albicans	SRR30894138	SRR30894143	6	59
Candida albicans	SRR30894138	SRR30894145	4	59
Candida albicans	SRR30894138	SRR30894146	3	59
Candida albicans	SRR30894138	SRR30894147	5	59
Candida albicans	SRR30894138	SRR33417537	4	59
Candida albicans	SRR30894138	SRR33417538	11	59
Candida albicans	SRR30894138	SRR33417540	5	59
Candida albicans	SRR30894138	SRR33417541	4	59
Candida albicans	SRR30894138	SRR33417544	4	59
Candida albicans	SRR30894138	SRR33417545	18	59
Candida albicans	SRR30894139	SRR30894141	2	59
Candida albicans	SRR30894139	SRR30894142	2	59
Candida albicans	SRR30894139	SRR30894143	6	59
Candida albicans	SRR30894139	SRR30894145	4	59
Candida albicans	SRR30894139	SRR30894146	3	59
Candida albicans	SRR30894139	SRR30894147	5	59
Candida albicans	SRR30894139	SRR33417537	4	59
Candida albicans	SRR30894139	SRR33417538	11	59
Candida albicans	SRR30894139	SRR33417540	5	59
Candida albicans	SRR30894139	SRR33417541	4	59
Candida albicans	SRR30894139	SRR33417544	4	59
Candida albicans	SRR30894139	SRR33417545	18	59
Candida albicans	SRR30894141	SRR30894142	0	59
Candida albicans	SRR30894141	SRR30894143	4	59
Candida albicans	SRR30894141	SRR30894145	2	59
Candida albicans	SRR30894141	SRR30894146	1	59
Candida albicans	SRR30894141	SRR30894147	3	59
Candida albicans	SRR30894141	SRR33417537	6	59
Candida albicans	SRR30894141	SRR33417538	9	59
Candida albicans	SRR30894141	SRR33417540	3	59
Candida albicans	SRR30894141	SRR33417541	2	59
Candida albicans	SRR30894141	SRR33417544	6	59
Candida albicans	SRR30894141	SRR33417545	16	59
Candida albicans	SRR30894142	SRR30894143	4	59
Candida albicans	SRR30894142	SRR30894145	2	59
Candida albicans	SRR30894142	SRR30894146	1	59
Candida albicans	SRR30894142	SRR30894147	3	59
Candida albicans	SRR30894142	SRR33417537	6	59
Candida albicans	SRR30894142	SRR33417538	9	59
Candida albicans	SRR30894142	SRR33417540	3	59
Candida albicans	SRR30894142	SRR33417541	2	59
Candida albicans	SRR30894142	SRR33417544	6	59
Candida albicans	SRR30894142	SRR33417545	16	59
Candida albicans	SRR30894143	SRR30894145	4	59
Candida albicans	SRR30894143	SRR30894146	3	59
Candida albicans	SRR30894143	SRR30894147	5	59
Candida albicans	SRR30894143	SRR33417537	10	59
Candida albicans	SRR30894143	SRR33417538	11	59
Candida albicans	SRR30894143	SRR33417540	5	59
Candida albicans	SRR30894143	SRR33417541	4	59
Candida albicans	SRR30894143	SRR33417544	10	59
Candida albicans	SRR30894143	SRR33417545	18	59
Candida albicans	SRR30894145	SRR30894146	1	59
Candida albicans	SRR30894145	SRR30894147	3	59
Candida albicans	SRR30894145	SRR33417537	8	59
Candida albicans	SRR30894145	SRR33417538	9	59
Candida albicans	SRR30894145	SRR33417540	3	59
Candida albicans	SRR30894145	SRR33417541	2	59
Candida albicans	SRR30894145	SRR33417544	8	59
Candida albicans	SRR30894145	SRR33417545	16	59
Candida albicans	SRR30894146	SRR30894147	2	59
Candida albicans	SRR30894146	SRR33417537	7	59
Candida albicans	SRR30894146	SRR33417538	8	59
Candida albicans	SRR30894146	SRR33417540	2	59
Candida albicans	SRR30894146	SRR33417541	1	59
Candida albicans	SRR30894146	SRR33417544	7	59
Candida albicans	SRR30894146	SRR33417545	15	59
Candida albicans	SRR30894147	SRR33417537	9	59
Candida albicans	SRR30894147	SRR33417538	10	59
Candida albicans	SRR30894147	SRR33417540	4	59
Candida albicans	SRR30894147	SRR33417541	3	59
Candida albicans	SRR30894147	SRR33417544	9	59
Candida albicans	SRR30894147	SRR33417545	17	59
Candida albicans	SRR33417537	SRR33417538	15	59
Candida albicans	SRR33417537	SRR33417540	9	59
Candida albicans	SRR33417537	SRR33417541	8	59
Candida albicans	SRR33417537	SRR33417544	0	59
Candida albicans	SRR33417537	SRR33417545	22	59
Candida albicans	SRR33417538	SRR33417540	10	59
Candida albicans	SRR33417538	SRR33417541	9	59
Candida albicans	SRR33417538	SRR33417544	15	59
Candida albicans	SRR33417538	SRR33417545	23	59
Candida albicans	SRR33417540	SRR33417541	3	59
Candida albicans	SRR33417540	SRR33417544	9	59
Candida albicans	SRR33417540	SRR33417545	17	59
Candida albicans	SRR33417541	SRR33417544	8	59
Candida albicans	SRR33417541	SRR33417545	16	59
Candida albicans	SRR33417544	SRR33417545	22	59
Candida tropicalis	SRR30894136	SRR30894144	18979	23707
Candida tropicalis	SRR30894136	SRR33417542	18799	23707
Candida tropicalis	SRR30894136	SRR33417543	18801	23707
Candida tropicalis	SRR30894144	SRR33417542	940	23707
Candida tropicalis	SRR30894144	SRR33417543	944	23707
Candida tropicalis	SRR33417542	SRR33417543	15	23707
